timestamp,task,event,priority,response_time,execution_time,deadline,result
1135,Logger_Task,CONTEXT_SWITCH,1,0,0,200,INFO
1139,Logger_Task,MUTEX_UNLOCK_LOG_BUFFER,1,85,54,200,INFO
1139,Logger_Task,FINISH,1,85,54,200,PASS
1150,Control_Task,READY,4,0,0,50,INFO
1150,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
1150,Control_Task,START,4,0,0,50,RUNNING
1150,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
1164,Control_Task,FINISH,4,0,14,50,PASS
1200,Control_Task,READY,4,0,0,50,INFO
1200,Deadline_Monitor_Task,READY,4,0,0,100,INFO
1200,Sensor_Task,READY,3,0,0,100,INFO
1200,Communication_Task,READY,2,0,0,150,INFO
1200,Logger_Task,READY,1,0,0,200,INFO
1200,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
1200,Control_Task,START,4,0,0,50,RUNNING
1200,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
1201,SYSTEM,SUMMARY_CONTEXT_SWITCH,0,0,76,0,INFO
1201,SYSTEM,SUMMARY_CPU_BUSY_TICKS,0,0,929,0,INFO
